SiteNumber	Type	LocationID	EffectiveDate	Region	DistrictOffice	State	StateName	County	CountyState	City	FacilityName	Ownership	Use	Owner	OwnerAddress	OwnerCSZ	OwnerPhone	Manager	ManagerAddress	ManagerCSZ	ManagerPhone	ARPLatitude	ARPLatitudeS	ARPLongitude	ARPLongitudeS	ARPMethod	ARPElevation	ARPElevationMethod	MagneticVariation	MagneticVariationYear	TrafficPatternAltitude	ChartName	DistanceFromCBD	DirectionFromCBD	LandAreaCoveredByAirport	BoundaryARTCCID	BoundaryARTCCComputerID	BoundaryARTCCName	ResponsibleARTCCID	ResponsibleARTCCComputerID	ResponsibleARTCCName	TieInFSS	TieInFSSID	TieInFSSName	AirportToFSSPhoneNumber	TieInFSSTollFreeNumber	AlternateFSSID	AlternateFSSName	AlternateFSSTollFreeNumber	NOTAMFacilityID	NOTAMService	ActivationDate	AirportStatusCode	CertificationTypeDate	FederalAgreements	AirspaceDetermination	CustomsAirportOfEntry	CustomsLandingRights	MilitaryJointUse	MilitaryLandingRights	InspectionMethod	InspectionGroup	LastInspectionDate	LastOwnerInformationDate	FuelTypes	AirframeRepair	PowerPlantRepair	BottledOxygenType	BulkOxygenType	LightingSchedule	BeaconSchedule	ATCT	UNICOMFrequencies	CTAFFrequency	SegmentedCircle	BeaconColor	NonCommercialLandingFee	MedicalUse	SingleEngineGA	MultiEngineGA	JetEngineGA	HelicoptersGA	GlidersOperational	MilitaryOperational	Ultralights	OperationsCommercial	OperationsCommuter	OperationsAirTaxi	OperationsGALocal	OperationsGAItin	OperationsMilitary	OperationsDate	AirportPositionSource	AirportPositionSourceDate	AirportElevationSource	AirportElevationSourceDate	ContractFuelAvailable	TransientStorage	OtherServices	WindIndicator	IcaoIdentifier	MinimumOperationalNetwork
16793.*A	AIRPORT	'HKY	8/12/21	ASO	MEM	NC	NORTH CAROLINA	CATAWBA	NC	HICKORY	HICKORY RGNL	PU	PU	CITY OF HICKORY	PO BOX 398	"HICKORY, NC 28603"	    828-323-7408	TERRY CLARK	3101 9TH AVE DR NW	"HICKORY, NC 28601"	    828-323-7408	35-44-28.1240N	128668.1240N	081-23-22.3820W	293002.3820W	E	1189	S	06W	2000		CHARLOTTE	3	W	739	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				HKY	Y	6/1/40	O	I A S 05/1973	NGY	NOT ANALYZED	N	N	N	Y	F	F	7242019		100LLA	MAJOR	MAJOR	NONE	HIGH/LOW	SEE RMK	SS-SR	Y		128.15	Y	CG	N		50	8	11	3	0	0	0	1693		6883	18576	37811	711	6/1/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,CHTR,INSTR,RNTL,SALES"	Y-L	KHKY	Y
16793.1*A	AIRPORT	'E40	8/12/21	ASO	MEM	NC	NORTH CAROLINA	CATAWBA	NC	HICKORY	WILSON'S	PR	PU	WILLIAM WILSON	3442 NC HWY 127 SOUTH	"HICKORY, NC 28602"	    828-217-3320	WILLIAM WILSON	3442 NC HWY 127 SOUTH	"HICKORY, NC 28602"	    828-217-3320	35-39-07.4760N	128347.4760N	081-21-28.3100W	292888.3100W	E	985	E	05W	1985		ATLANTA	4	S	27	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	10/1/82	O			CONDITIONAL					S	S	3272021	9111982		NONE	NONE	NONE	NONE			N		122.9	N		N		8						1				500	250	50	3/27/21								Y		N
16811.*A	AIRPORT	'N21	8/12/21	ASO	MEM	NC	NORTH CAROLINA	ONSLOW	NC	HOLLY RIDGE	HOLLY RIDGE/TOPSAIL ISLAND	PR	PU	NEW HANNOVER AIRPORT LLC	PO BOX 3274	"TOPSAIL BEACH, NC 28445"	    734-516-0330	MICHAEL D SOIGNET	PO BOX 3274	"HOLLY RIDGE, NC 28445"	    734-516-0330	34-29-25.7705N	124165.7705N	077-31-55.6500W	279115.6500W	E	48	E	08W	1985		CHARLOTTE	1	SE	22	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	4/1/80	O			CONDITIONAL					S	S	6132019							SS-SR		N		122.9	N		N		3			0							2000	2500	100	6/13/19	FAA-EST IMAGERY	00:00.0		00:00.0		TIE		Y		N
16813.5*A	AIRPORT	'4W4	8/12/21	ASO	MEM	NC	NORTH CAROLINA	PERSON	NC	HURDLE MILLS	WHITFIELD FARMS	PR	PU	"ROBERT O. WHITFIELD, JR."	1721 ROBERT WHITFIELD RD	"HURDLE MILLS, NC 27451"	    336-234-0111	"ROBERT O. WHITFIELD, JR."	P.O. BOX 549	"ROXBORO, NC 27573"	    336-234-0111	36-17-00.5020N	130620.5020N	079-04-44.0450W	284684.0450W	E	653	S	07W	1985		CINCINNATI	2	W	4	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	8/1/63	O			NOT ANALYZED					S	S	5242019	12031979								N		122.9	N		N		4										500	75		5/24/19						TIE	AGRI	N		N
16814.*A	AIRPORT	'28A	8/12/21	ASO	MEM	NC	NORTH CAROLINA	UNION	NC	INDIAN TRAIL	GOOSE CREEK	PR	PU	"LOCO PANTHER AVIATION, LLC"	2020 LAWYERS RD	"INDIAN TRAIL, NC 28079"	    704-614-3084	JAMES HONEYCUTT & THOMAS ROOD	2020 LAWYERS RD	"INDIAN TRAIL, NC 28079"	    704-614-3084	35-07-15.5260N	126435.5260N	080-35-14.2420W	290114.2420W	E	565	E	05W	1985	535	CHARLOTTE	6	NE	14	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	1/1/70	O			CONDITIONAL			N	N	S	S	8012018			MAJOR	MAJOR	NONE	NONE	SEE RMK		N	123	123	N		N		27			1			9			20	3000	500	50	1/1/20						TIE	"AVNCS,INSTR,RNTL,SALES,SURV"	Y		N
16815.1*A	AIRPORT	'OAJ	8/12/21	ASO	MEM	NC	NORTH CAROLINA	ONSLOW	NC	JACKSONVILLE	ALBERT J ELLIS	PU	PU	ONSLOW COUNTY	234 NW CORRIDOR BLVD	"JACKSONVILLE, NC 28540"	    910-347-4717	CHRISTOPHER WHITE	264 ELLIS AIRPORT RD	"RICHLANDS, NC 28574"	    910-324-1100	34-49-45.0000N	125385.0000N	077-36-43.7000W	279403.7000W	E	92	S	08W	1990		CHARLOTTE	10	NW	675	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				OAJ	Y	2/1/71	O	I B S 05/1973	NGY	NO OBJECTION	N	N	N	Y	F	F	6252019		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.95	132.65	Y	CG	N		22	1		3				6722		2797	4218	5478	10329	5/31/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"INSTR,RNTL,SALES"	Y-L	KOAJ	N
16815.11*A	AIRPORT	'N22	8/12/21	ASO	MEM	NC	NORTH CAROLINA	ONSLOW	NC	JACKSONVILLE	SKY MANOR	PR	PU	ATLAS JEFFREY BROWN	115 ATLAS BROWN DRIVE	"JACKSONVILLE, NC 28540"	    910-389-3014	JEFF BROWN	115 ATLAS BROWN DRIVE	"JACKSONVILLE, NC 28540"	    910-389-3014	34-42-39.0700N	124959.0700N	077-35-05.9500W	279305.9500W	E	60	E	08W	1985		CHARLOTTE	8	W	25	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	6/1/77	O			CONDITIONAL	N	N			S	S	6132019	11261979				NONE	NONE			N		122.9	N		N		4										500	100		6/13/19	FAA-EST IMAGERY	00:00.0				TIE		Y		N
16816.1*A	AIRPORT	'GEV	8/12/21	ASO	MEM	NC	NORTH CAROLINA	ASHE	NC	JEFFERSON	ASHE COUNTY	PU	PU	ASHE COUNTY	"150 GOVERNMENT CIRCLE, SUITE 2500"	"JEFFERSON, NC 28640"	    336-846-5501	ERIC PAYNE	639 AIRPORT ROAD	"JEFFERSON, NC 28640"	    336-982-5144	36-25-56.9000N	131156.9000N	081-25-06.6000W	293106.6000W	E	3177	S	07W	2000		CINCINNATI	3	E	106	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				GEV	Y	8/1/77	O		NGY	CONDITIONAL				Y	S	S	8282020		100LLA1+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		20	1	0	0	0	0	0				3900	6000	700	8/28/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"AGRI,INSTR,RNTL"	Y-L	KGEV	N
16820.*A	AIRPORT	'78A	8/12/21	ASO	MEM	NC	NORTH CAROLINA	YADKIN	NC	JONESVILLE	SWAN CREEK	PR	PU	BILLY COCKRELL	3133 SWAN CREEK RD	"JONESVILLE, NC 28642"	    336-526-5867	BILLY COCKRELL	3133 SWAN CREEK RD	"JONESVILLE, NC 28642"	    336-526-5867	36-12-08.4830N	130328.4830N	080-52-05.2580W	291125.2580W	E	1135	S	05W	1985		CINCINNATI	3	SW	35	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	6/1/42	O			NOT ANALYZED					S	S	8162019	11291979		NONE	NONE	NONE	NONE			N		122.9	N		N		1			2							10000	500		8/16/19						TIE		N		N
16826.1*A	AIRPORT	'N88	8/12/21	ASO	MEM	NC	NORTH CAROLINA	GUILFORD	NC	JULIAN	KECKS	PR	PU	MARK KECK	2379 N.C. 62E	"JULIAN, NC 27283"	    336-451-1540	MARK KECK	2379 N.C. 62E	"JULIAN, NC 27283"	    336-451-1540	35-55-35.4900N	129335.4900N	079-37-39.0900W	286659.0900W	E	724	S	06W	1985		CHARLOTTE	2	NE	4	ZDC	ZCW	WASHINGTON	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	7/1/53	O			NOT ANALYZED					S	S	4022021	11201979		NONE	NONE	NONE	NONE			N		122.9	N		N		0										125	200		4/2/21						TIE		Y		N
16827.*A	AIRPORT	'DPL	8/12/21	ASO	MEM	NC	NORTH CAROLINA	DUPLIN	NC	KENANSVILLE	DUPLIN COUNTY	PU	PU	DUPLIN COUNTY	260 AIRPORT ROAD	"KENANSVILLE, NC 28349"	    910-296-2188	GEORGE FUTRELLE	260 AIRPORT ROAD	"KENANSVILLE, NC 28349"	    910-296-2188	35-00-00.1000N	126000.1000N	077-58-54.0000W	280734.0000W	E	136	S	09W	2010		CHARLOTTE	2	NW	435	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				DPL	Y	8/1/74	O		NGY	NO OBJECTION	N	N	N	Y	S	S	7032020		100LLA1+	MAJOR	MAJOR	HIGH	NONE	SEE RMK	SS-SR	N	123	123	Y	CG	N		19	10	2	1	1	0	0			0	5500	9000	3000	7/3/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE		Y-L	KDPL	N
16828.95*A	AIRPORT	'FFA	8/12/21	ASO	MEM	NC	NORTH CAROLINA	DARE	NC	KILL DEVIL HILLS	FIRST FLIGHT	PU	PU	NATIONAL PARK SVC.	1401 NATIONAL PARK DR.	"MANTEO, NC 27954-2708"	    252-473-2111	NCDOT DIVISION OF AVIATION	1560 MAIL SERVICE CENTER	"RALEIGH, NC 27699-1560"	  (919) 814-0550	36-01-03.3000N	129663.3000N	075-40-17.7000W	272417.7000W	E	11	S	11W	2020		WASHINGTON	1	W	40	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				FFA	Y		O		NY1	CONDITIONAL	N	N	N	Y	S	S	4182018			NONE	NONE	NONE	NONE			N		122.9	Y		N		0	0	0	0	0	0	0			0	23000	14000	500	4/18/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE		Y-L	KFFA	N
16836.*A	AIRPORT	'ISO	8/12/21	ASO	MEM	NC	NORTH CAROLINA	LENOIR	NC	KINSTON	KINSTON RGNL JETPORT AT STALLINGS FLD	PU	PU	NORTH CAROLINA	2780 JETPORT ROAD	"KINSTON, NC 23504"	    252-523-1351	RICHARD W. BARKES	2780 JETPORT ROAD SUITE I	"KINSTON, NC 28504"	  (252) 523-1351	35-19-53.1530N	127193.1530N	077-36-31.7930W	279391.7930W	E	92	S	09W	2000		CHARLOTTE	3	NW	1255	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				ISO	Y	8/1/44	O	I A S 05/1973	NGPRY3	NO OBJECTION	N	N	N	Y	F	F	6032021		100LLA	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	Y	122.95	120.6	Y	CG	N		16	0	22	2	0	0	0	9		1268	4667	5135	13632	4/30/21	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,AMB,CARGO,CHTR,INSTR,RNTL,SALES"	Y-L	KISO	N
16845.*A	AIRPORT	'W17	8/12/21	ASO	MEM	NC	NORTH CAROLINA	WAKE	NC	KNIGHTDALE	RALEIGH EAST	PR	PU	CAROLYNN  KNOTT	933 THREE SISTERS ROAD	"KNIGHTDALE, NC 27545"	    919-749-8850	CURT TILLY	4120 IVERSON ST.	"RALEIGH, NC 27604"	    919-673-4527	35-47-51.8000N	128871.8000N	078-26-13.2350W	282373.2350W	E	313	S	07W	1985		CHARLOTTE	2	E	55	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	5/1/64	O			CONDITIONAL	N	N	N	N	S	S	3042020	11112010		NONE	NONE			SS-SR	SS-SR	N	122.8	122.8	N	CG	N		30	1					2				5000	2000	500	3/4/20						TIE		Y		N
16861.1*A	AIRPORT	'EXX	8/12/21	ASO	MEM	NC	NORTH CAROLINA	DAVIDSON	NC	LEXINGTON	DAVIDSON COUNTY	PU	PU	DAVIDSON COUNTY ARPT AUTH	1673 AVIATION WAY	"LEXINGTON, NC 27292"	  (336) 472-0462	FLY HIGH LEXINGTON	1673 AVIATION WAY	"LEXINGTON, NC 27292"	    336-956-7774	35-46-52.1060N	128812.1060N	080-18-13.5870W	289093.5870W	E	732	S	07W	2000		CHARLOTTE	3	SW	330	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				EXX	Y	5/1/61	O		N	NO OBJECTION	N	N	N	N	S	S	7032018		100LLA+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		55	9	4	3	0	0	0			500	15000	13000	500	7/3/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AMB,INSTR,RNTL"	Y-L	KEXX	N
16862.21*A	AIRPORT	'2A5	8/12/21	ASO	MEM	NC	NORTH CAROLINA	GUILFORD	NC	LIBERTY	CAUSEY	PR	PU	WINFIELD CAUSEY	6120 SMITHWOOD RD	"LIBERTY, NC 27298"	    336-685-4308	WINFIELD CAUSEY	6120 SMITHWOOD RD	"LIBERTY, NC 27298"	    336-685-4423	35-54-42.4280N	129282.4280N	079-37-03.5240W	286623.5240W	E	723	S	08W	2005		CHARLOTTE	4	NW	50	ZDC	ZCW	WASHINGTON	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y		O			NO OBJECTION	N	N	N	N	S	S	4042020		100LLA1+	MAJOR	MAJOR	NONE	HIGH	SS-SR	SS-SR	N	122.8	122.8	N	CG	N		20	0	0								2500	1000	100	4/4/20	NACO	00:00.0				TIE	"AVNCS,CHTR"	Y		N
16862.23*A	AIRPORT	'N61	8/12/21	ASO	MEM	NC	NORTH CAROLINA	ALAMANCE	NC	LIBERTY	HINSHAW (GREENACRES)	PR	PU	GENE HINSHAW	2872 HINSHAW ROAD	"LIBERTY, NC 27298"	    336-622-4405	GENE HINSHAW	2872 HINSHAW ROAD	"LIBERTY, NC 27298"	    336-622-4405	35-52-25.4930N	129145.4930N	079-31-39.0800W	286299.0800W	E	750	E	06W	1985		CHARLOTTE	3	NE	18	ZDC	ZCW	WASHINGTON	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	7/1/71	O			CONDITIONAL					S	S	4132021			NONE	NONE					N		122.9	N		N		0						3				500	100	50	4/13/21								Y		N
16866.*A	AIRPORT	'IPJ	8/12/21	ASO	MEM	NC	NORTH CAROLINA	LINCOLN	NC	LINCOLNTON	LINCOLNTON-LINCOLN COUNTY RGNL	PU	PU	CITY OF LINCOLNTON & LINCOLN	714 JACK DELLINGER DRIVE	"IRON STATION, NC 28080"	    704-736-8488	JOE TATE	714 JACK DELLINGER DRIVE	"IRON STATION, NC 28080"	    704-735-0602	35-28-59.3100N	127739.3100N	081-09-41.4200W	292181.4200W	E	877	S	06W	1995		CHARLOTTE	5	E	453	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				IPJ	Y	7/1/86	O		NGY	NO OBJECTION					S	S	5112018		100LLA1+	MAJOR	MAJOR	LOW	LOW	SEE RMK	SS-SR	N	123.05	123.05	Y	CG	N		65	11	2	2	0	0	0			0	15300	17900	900	5/11/18	FAA	00:00.0	FAA	00:00.0		TIE	"INSTR,RNTL,SALES"	Y-L	KIPJ	N
16875.*A	AIRPORT	'LHZ	8/12/21	ASO	MEM	NC	NORTH CAROLINA	FRANKLIN	NC	LOUISBURG	TRIANGLE NORTH EXEC	PU	PU	FRANKLIN COUNTY	113 MARKET STREET	"LOUISBURG, NC 27549"	    919-554-1863	BO CARSON	440 AIRPORT DRIVE	"LOUISBURG, NC 27549"	    919-496-1234	36-01-24.0550N	129684.0550N	078-19-48.9470W	281988.9470W	E	368	S	09W	2010		CHARLOTTE	5	SW	450	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				LHZ	Y	3/1/93	O		NGY	NO OBJECTION					S	S	4252020		100LLA1+	MAJOR	MAJOR	HIGH/LOW		SEE RMK	SS-SR	N	123	123	Y	CG			102	11	1	5	5	0	0			0	42300	18000	2500	4/25/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		TIE	"GLD,INSTR,PAJA,RNTL,SALES,TOW"	Y-L	KLHZ	N
16882.*A	AIRPORT	'LBT	8/12/21	ASO	MEM	NC	NORTH CAROLINA	ROBESON	NC	LUMBERTON	LUMBERTON RGNL	PU	PU	CITY OF LUMBERTON	P. O. BOX 1388	"LUMBERTON, NC 28359"	    910-671-3800	BOB SNUCK	163 AIRPORT BLVD	"LUMBERTON, NC 28358"	    910-739-6480	34-36-35.3000N	124595.3000N	079-03-34.4000W	284614.4000W	E	124	E	08W	2000		CHARLOTTE	3	W	485	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				LBT	Y	1/1/43	O		NGY3	NO OBJECTION	N	N	N	Y	S	S	11112019		100LLA1+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		31	6	0	2	0	0	0			1000	10000	12000	2000	11/11/19	NGS	00:00.0	NGS	00:00.0		"HGR,TIE"	"CHTR,INSTR,RNTL,SALES"	Y-L	KLBT	N
16888.*A	AIRPORT	'N92	8/12/21	ASO	MEM	NC	NORTH CAROLINA	CATAWBA	NC	MAIDEN	LANEYS	PR	PU	CHARLES LANEY	4235 POOL VIEW DR	"MAIDEN, NC 28650"	    828-428-8939	CHARLES LANEY	4235 POOL VIEW DR	"MAIDEN, NC 28650"	  (828) 312-6189	35-34-27.4810N	128067.4810N	081-07-02.2840W	292022.2840W	E	1025	E	05W	1985		CHARLOTTE	3	SE	16	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	8/1/71	O			CONDITIONAL					S	S	3302018			NONE	NONE	NONE	NONE			N	122.8	122.8	N		N		39						7				2000	500		3/30/18						TIE		Y		N
16894.*A	AIRPORT	'MQI	8/12/21	ASO	MEM	NC	NORTH CAROLINA	DARE	NC	MANTEO	DARE COUNTY RGNL	PU	PU	DARE COUNTY	PO BOX 429	"MANTEO, NC 27954"	    252-475-5570	DAVID DANIELS	410 AIRPORT ROAD	"MANTEO, NC 27954-9110"	    252-475-5571	35-55-08.3376N	129308.3376N	075-41-43.9287W	272503.9287W	E	13	S	09W	1985		CHARLOTTE	1	NW	340	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				MQI	Y	9/1/43	O		NGPRY3	NOT ANALYZED	N	N	N	Y	S	S	3282020		100LLA1+	MAJOR	MAJOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		41	2	0	2	0	0	0			10050	2300	4400	200	3/28/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,AMB,CHTR,INSTR,PAJA,RNTL"	Y-L	KMQI	N
16896.*A	AIRPORT	'9A9	8/12/21	ASO	MEM	NC	NORTH CAROLINA	MC DOWELL	NC	MARION	SHIFLET FLD	PR	PU	MARION AIRPORT COMMISSION	PO BOX 1298	"MARION, NC 28752"	    828-442-5500	WILL GLENN	2654 AIRPORT RD	"MARION, NC 28752"	    828-803-4019	35-43-14.4470N	128594.4470N	082-00-35.3910W	295235.3910W	E	1212	S	04W	1985		ATLANTA	3	N	30	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	10/1/37	O			NOT ANALYZED				Y	S	S	5212021			NONE	NONE	NONE	NONE	SEE RMK	SEE RMK	N		122.9	N	CG	N		55	1		1	0		2				3300	1000	50	5/21/21						"HGR,TIE"		Y		N
16906.*A	AIRPORT	'MEB	8/12/21	ASO	MEM	NC	NORTH CAROLINA	SCOTLAND	NC	MAXTON	LAURINBURG-MAXTON	PU	PU	TOWN OF LAURINBURG & MAXTON	16701 AIRPORT RD	"MAXTON, NC 28364"	  (910) 844-3601	RANDY HOFFMAN	16701 AIRPORT RD	"MAXTON, NC 28364"	  (910) 844-3601	34-47-31.8200N	125251.8200N	079-21-57.2260W	285717.2260W	E	215	S	08W	2005		CHARLOTTE	3	N	4290	ZDC	ZCW	WASHINGTON	ZDC	ZCW	WASHINGTON	N	RDU	RALEIGH		1-800-WX-BRIEF				MEB	Y	5/1/43	O		NGPRY	NOT ANALYZED	N	N	N	Y	S	S	7042019		100LLA1+	MINOR	MINOR	NONE	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	Y		13	3	0	0	0	0	0			4000	10000	10000	30000	7/4/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"INSTR,PAJA,SALES"	Y-L	KMEB	N
16923.2*A	AIRPORT	'8A7	8/12/21	ASO	MEM	NC	NORTH CAROLINA	DAVIE	NC	MOCKSVILLE	TWIN LAKES	PR	PU	DR. PHILIP MARTIN	"3434 EDWARDS MILL RD, SUITE 112-341"	"RALEIGH, NC 27612"	    919-571-0081	BRIAN MEADOWS	1105 FORK BIXBY RD	"ADVANCE, NC 27006"	    336-998-8101	35-54-53.6940N	129293.6940N	080-27-24.5030W	289644.5030W	E	818	S	06W	1985		CHARLOTTE	5	NE	100	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y		O			CONDITIONAL					S	S	5102019		100LL	MAJOR	MAJOR	LOW	NONE	SS-SR	SS-SR	N	122.7	122.7	N	CG	N		88	2		0	0		0				24000	5000	1000	5/10/19	ADAM					TIE	"AVNCS,INSTR,SALES"	Y		N
16926.2*A	AIRPORT	'EQY	8/12/21	ASO	MEM	NC	NORTH CAROLINA	UNION	NC	MONROE	CHARLOTTE-MONROE EXEC	PU	PU	CITY OF MONROE	"CITY HALL, P.O. BOX 69"	"MONROE, NC 28111"	  (704) 282-4730	PETER CEVALLOS	3900 PAUL J. HELMS DRIVE	"MONROE, NC 28110"	    704-226-2300	35-01-02.6980N	126062.6980N	080-37-19.4010W	290239.4010W	E	682	S	06W	1990		CHARLOTTE	5	NW	206	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				EQY	Y		O		NGY	NO OBJECTION	N	N	N	Y	S	S	3292018		100LLA1+	MAJOR	MAJOR	HIGH/LOW	NONE	SEE RMK	SS-SR	N	122.7	122.7	Y	CG	N		98	12	6	0	0	0	0			4100	30500	20500	1000	3/29/18	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AVNCS,CHTR,INSTR,RNTL,SALES"	Y-L	KEQY	N
16929.11*A	AIRPORT	'14A	8/12/21	ASO	MEM	NC	NORTH CAROLINA	IREDELL	NC	MOORESVILLE	LAKE NORMAN AIRPARK	PR	PU	LAKE NORMAN AIRPARK OWNERS ASSOC	409 NORMANDY ROAD	"MOORESVILLE, NC 28117-3732"	    704-880-1563	DEBBY DENNIS	149 YEAGER ROAD	"MOORESVILLE, NC 28117"	    704-880-1563	35-36-49.9300N	128209.9300N	080-53-57.9500W	291237.9500W	E	839	S	07W	2005		CHARLOTTE	5	NW	40	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				RDU	Y	6/1/67	O			CONDITIONAL	N	N	N	N	S	S	8172019		100LL	MAJOR	MAJOR	HIGH/LOW	NONE	SEE RMK	SS-SR	N	122.8	122.8	Y	CG	N		86	3		2			1				15000	3000		8/17/19	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"INSTR,RNTL"	Y		N
16939.*A	AIRPORT	'MRN	8/12/21	ASO	MEM	NC	NORTH CAROLINA	CALDWELL	NC	MORGANTON	FOOTHILLS RGNL	PU	PU	FOOTHILLS REGIONAL AIRPORT AUTHORIT	3566 FOOTHILLS  AIRPORT RD	"MORGANTON, NC 28655"	    828-757-0099	BRENT BRINKLEY	3566 FOOTHILLS AIRPORT RD	"MORGANTON, NC 28655"	    828-757-0099	35-49-12.8000N	128952.8000N	081-36-41.1000W	293801.1000W	E	1269	S	07W	2005		CHARLOTTE	6	NE	1170	ZTL	ZCT	ATLANTA	ZTL	ZCT	ATLANTA	N	RDU	RALEIGH		1-800-WX-BRIEF				MRN	Y	12/1/45	O		NGY	NO OBJECTION	N	N	N	Y	S	S	8292020		100LLA1+	MAJOR	MAJOR	LOW	HIGH	SEE RMK	SS-SR	N	122.7	122.7	Y	CG	N		56	3	0	0	0	0	0			1000	9000	6500	500	8/29/20	3RD PARTY SURVEY	00:00.0	3RD PARTY SURVEY	00:00.0		"HGR,TIE"	"AFRT,CARGO,GLD,INSTR,RNTL,SALES,TOW"	Y-L	KMRN	N
